content,label
terkadang signal nya selalu merah dan harus nunggu lama sampai berubah hijau,-1.0
aktivasi kaga bisa2 udah abis pulsa 20 rb aplikasi tolol makin lama makib ga beres,-1.0
kenapa tidak bisa di downlode lagi,-1.0
"kode nya GK masuk"" cok",-1.0
ahhh...errorrr,-1.0
"aplikasi sangat lelet ya,,dari lampu merah ke biru sampai ke hijau aja sangat lama,,bener,,,",-1.0
"akhir akhir ini app loading butuh waktu lumayan lama baik itu untuk cek mutasi ataupun utk transaksi, harap diperhatikan masalah ini karena bila lemot akan sangat mengganggu. Btw tak lama setelah review langsung dpt respon dari pengembang. Perlu diketahui saat ini saya menggunakan device android 15 yg mana sebelumnya pada device android 13 lancar jaya dengan jaringan yg sama.",-1.0
update yg terbaru malah jadi lelet. Masi mendingan versi yg lama cepat tdk lelet,-1.0
"ini kok susah banget buat login, padahal kartu aktif & pulsa pun ada. udah 2 hari kek gini",-1.0
masukan kode 6 dijid susah minta ampun sampai habiskan uang ribuh rupiah sampai saat ini..otp..sampai datang ke kantor bca lama gak bisa2 trs pulang,-1.0
"mau pake aplikasi mobile BCA aja smpe harus habisin pulsa dulu, itupun jg masih blm bisa masuk verifikasi cm gara² notif nunggu indikator berwarna hijau. tolong dong diperbaiki lagi aplikasinya....",-1.0
"cuma pindah hp aja susah banget sekarang. udah verifikasi KTP sama wajah sukses, tinggal kirim kode otp smp 5 hari kodenya gk masuk2 udah di ulang beberapa kali tetep gk masuk SMS kode otpnya, pdahal saya terima SMS dari nomor lain bisa.",-1.0
tolong di perbaiki. tiap mw transaksi slalu lampu hijau nya lama Skali.,-1.0
update sekrang kok agak lemot ya,-1.0
"ribet, mw registrasi ulang aja muter trs, padahal udh lama jd member",-1.0
"setelah aktif akun bca mobile nya, kok gabisa buat transaksi 😌🙏",-1.0
"sinyal susah semenjak update, parah2",-1.0
wahai developer request E-CashTap Nfc pay,-1.0
kenapa apa apa harus nunggu ijo??? kadang kadang merah nya lamaaaaaa nggak kayak mbanking lain tinggal pencet pencet aja,-1.0
"makin lama makin menjadi jadi nih aplikasi, bukannya makin bagus malah makin lemot, membuat satu transaksi aja, butuh beberapa menit. apalagi kita pake qris untuk pembayaran di swalayan, kalau bisa jangan deh teman teman. bisa malu kita, sinyalnya merah terus, sok sokan pake merah biru hijau. ntah apa gunanya yg biru, gak bisa juga digunakan. dikira lalu lintas kali ya,, wkwkwk makin buruk saja. makan gaji buta aja nih karyawannya",-1.0
bca semakin hari ganguan Mulu ga ga jelas,-1.0
"mau akses mutasi rekening di mbca lama banget padahal hijau lampunya,tiap mau qris jg lama,padahal aplikasi sudah di update kenapa BCA skrg jadi begini",-1.0
ada saat dmanana cek rek koran harus menunggu lama.,-1.0
"setelah update malah tambah jelekk, indikator merah terus padahal koneksi baguss, masa setiap mau transaksi harus on off data",-1.0
"beberapa minggu ini BCA Mobile sering bermasalah, mau transaksi aja lampu indikatornya lama banget berubah jadi hijau. padahal udah coba instal ulang, ganti koneksi dll",-1.0
"setelah update signalnya buruk merah terus, padahal pakai wifi.",-1.0
"Kenapa sekarang lemot banget indikator merah ke hijau harus nunggu beberapa menit dulu, agak menghambat ketika ingin transaksi lewat qrish ato tf minta tolong lah, di perbarui bukannya maksimal malah minimal",-1.0
tambah lama tambah lemot aja,-1.0
hbs update malah lemot tiap kali mau masuk nungguuuu ilang meraaahnya lamaaaa banget,-1.0
"LAMPU BIRU SANGT MENGGANGGU DALM TANSKSI JADI LAMABT, HARUS NUNGGU LAMPU HIJAU DULU",-1.0
"Sistem gangguan terus, perbaiki dong, kalah sama mobile bank yg lain. Payah",-1.0
"timbang mau login aja susah banget,perkara ganti hp... teknologi udah maju masih aja dipersulit",-1.0
"Habis di updet jadi lemot pollllll merah mulu, nyesel aku updet, bikin emosi",-1.0
perfect,0.0
sangat bagus,1.0
sinyal kuat tapi sering merah kocak ni sekarang apk buat bayar2 lama bgt nunggu mpe ijo,-1.0
sangat lambat dari merah ke hijaunya padahal jaringan dah kenceng 5G 127Mbps,-1.0
"indikator lampu nya merah terus, jd ga nyaman dlm transaksi update terakhir failed worst!!!",-1.0
"Kenapa ya setelah di update ke versi terbaru jadi agak sedikit lemot dan berat ,mudah2an secepatnya kembali normal seperti sediakala.BCA gitu lohhh 🙏",-1.0
"aplikasi parah lagi butuh banget transaksi ga bisa dipake,indikator merah koplak banget.",-1.0
"aplikasi sering lost koneksi, padahal sinyal bagus dan kouta masih banyak, membuka aplikasi juga tidak terkendala.",-1.0
good job,0.0
toppp markotoppp,1.0
mudah bertrasaksi,0.0
"habis diupdate malah indikator warnanya merah terus ngga berubah hijau, tolong perbaiki",-1.0
Susah harus video call ini itu ribet banget. tiba tiba apk kluae sendiri tidak jelas,-1.0
Bagus 👍,0.0
"nice, di tingkatkan lagi biar ga lelet",0.0
Setelah update Masa indikator merah terus...lah make aplikasinya gemana ngga bisa di pakai..... Udah bolak balik restart hape penyakitnya lampu indikator merah lama... payah,-1.0
lambat sekarang jaringanya,-1.0
Erorrrr trssss sinyal bagus padahal,-1.0
"sinyal kurang bagus, lebih sering status sinyal warna merah terus...",-1.0
"aplikasi buang"" waktu",-1.0
susah dapet sinyal hijau,-1.0
semenjak update kok malah sering merah sinyalnya susah buat transaksi,-1.0
"setiap login menunggu lamu hijau lama sekali, semenjak maintenance terakhir semakin lambat",-1.0
"asal jam 23.00 pasti merah terus indikator nya, bikin repot kalau kek gini buat transaksi...",-1.0
edan jaringan sudah bagus merah trrus indikatornya,-1.0
"saya telah menggunakan lama menggunakan BCA mobile ini tapi belakangan ini aplikasi sangat buruk untuk koneksi menunggu dari merah ke hijau, (jangan nyalahin jaringan saya, saya menggunakan STARLINK ""baca;STARLINK"") susah sekali lapor bug ini ke developer kalian ya, heran saya sekelas BCA hal2 SEPELE seperti ini tidak diperhatikan,",-1.0
"abis diupdate nunggu sinyal ijonya lama banget, tolong diperbaiki lagi",-1.0
"mbanking saya kalau pakai wifi kok gk bisa terkoneksi, kalau pakai data bisa, padahal pengaturan penggunakan data, data dan wifi sudah nyalah semua.",-1.0
"OTP ga masuk2. Malah ngabisin pulsa doang,payah",-1.0
setelah update loading nya jadi parah banget,-1.0
okee,0.0
indikator merah terus padahal sinyal lancar!!!,-1.0
ini MBangking ko merah terus tanda lampunya gak pernah hijau,-1.0
saya salah transfer apakah bisa uang nya kembali lagi ke ATM saya,-1.0
setelah update sekarang merah terus susah hijau padahal sinyal ke apk yang lain lancar,-1.0
"sinyal full, paket data Internet 2 kartu SIM masih banyak ttp aja lampunya merah ga bisa buat transaksi dll!!!",-1.0
top up Flazz 100k dananya udh ilang.di flazznya belum keisi .notifnya gagal top up di history top up gk ada di mutasi rekening ada pembayaran top up.hehe,-1.0
kenapa saya susah banget masuknya belum juga dapet nomor otp,-1.0
di upgrade malah merah mulu kocak,-1.0
tak berguna,-1.0
ribet bgt riset pw,-1.0
aplikasi ga jls masuk mbanking aja lama setalah update makin lemot aneh aneh,-1.0
yes bca,0.0
"woi ini knp si merah terus, ga bisa transaksi kalo begini terus",-1.0
dipermudah,1.0
ko lampu nya merah terus ..sedikit sedikit merah ...makin sini makin jelek ..padahal jaringan bagus,-1.0
enek banget gue nunggu ini aplikasi notip merah terus lama banget ke notif hijau,-1.0
"setelah diperbaharui indikator lampu merah terus, sebelumnya cepat berubah menjadi hijau jadi cepat bertransaksi.. sekarang tunggu lamaaaaaaaaaaaaaa masih merah..",-1.0
"knpa ga hijau lampunya,error y tolong di benahi.",-1.0
"setelah update terasa sangat slow respon sekali aplikasi nya. keseringan merah indikator,pas ijo masukin pin lambat bgt tiba"" terputus . blm lagi bca kybord nya yampun.",-1.0
Sudah coba bikin online 3 kali tapi selalu gagal,-1.0
"aneh tidak bisa menerima sms verifikasi, pulsa ada 30rb gabisa terima sms",-1.0
Jadi lemot ke sinyal ijo nya,-1.0
Ko sekarang lampunya susah hijau,-1.0
"Untuk Bank pelayanan Terbaik ku akui BCA, Dari Parkir Gratis, Satpam sampai Teller, Jozz semua Pelayanannya...👍🏻 Sayang tidak dengan Apk M-Bankingnya... Beberapa Kali mengalami error yang mengharuskan datang ke bank untuk perihal login... 🥴",-1.0
makin kesini buat jadi hijau sangat lama,-1.0
jujur asli BCA mobile jelek banget padahal saya sudah pakai hampir beberapa tahun baru sekarang BCA mobile kacau,-1.0
setelah Hp d setelan pabrik download lg BCA mobile kenapa gak bisa masuk lg... kok susah banget... tolong dong d permudah,-1.0
"gampang error, lampu indikator merah terus",-1.0
"lampu indikator gak jelas abis update lemotnya nunggu warna ijo.woi sinyal gue lancar ya,jangan suruh restart2 hape ato mode pesawat2an segala alasan clasic.yang lemot aplikasinya kenapa jadi hapenya yg disalahin,toh sebelom update lancar2 aja cepet sat set.",-1.0
setelah di update makin lemot buat pembayaran maupun cek saldo!!tolong dong perbaiki!jgn nyusahin,-1.0
makin ruwet,-1.0
pasangin antena biar bagus sinyal aplikasinya,-1.0
sinya tolong perbaikin lagi suka keluar sendiri,-1.0
semoga UI nya bisa lebih baik lagi 🙏 . rate bintang 4 dulu.,1.0
"setelah update, pembayaran pakai qris tulisannya kosong.. kenapa ya, min,",-1.0
di saat penting malah sering merah..harus nunggu ijo baru bisa dipake...kacauu,-1.0
"jujur masih suka dengan design apk lama, versi terbaru ini justru buat makin lemot mungkin karna penggunaan data yg lebih banyak yaa",-1.0
The best Bca bank I like,1.0
kide otp ga bisa dikirim ke nomer saya,-1.0
"kok jadi berat sih, abis updet kemarin????",-1.0
"ini abis di update kok merah terus ya, jadi ga bisa transfer saya, aduhhh 🤷🏻‍♂️ ""sudah bisa, saya rubah ulasan saya, terimakasih atas fast responnya"" 🙏🏻👍🏻👍🏻",-1.0
hilangkan indikator hijau birunya,-1.0
sangat puas,1.0
sudah 17 THN pake BCA tidak pernah ada kendala.tapi dua hari ini kok ada masalah ya ma jaringan nya.pake wifi atau pun data tetap jaringan nya merah lama juga.jadi lambat mau transaksi.padahal ya juga belum waktunya di update.sangat terganggu pas mau transaksi pembelian pake qiuris.karna harus nunggu lampunya hijau.,-1.0
habis update malah sinyal merah terus,-1.0
"kenapa mau transfer selalu gagal,? padahal sudah pembaruan.",-1.0
"gajelas banyak potong""an",-1.0
"KENAPA SERING MERAHHHH!!!! SAYA MALU, GAK BISA BUAT BAYAR, BIKIN ANTRIAN PANJAAANGGGGGGGGGGGGGGG TOLONG SEGERA BENAHI 👿",-1.0
di update menu informasi saldo malah hilang,-1.0
setelah di updet di play store kok malah agak lemot ya,-1.0
Mudah dan praktis digunakan,1.0
aplikasi lemot ... gak guna percuma gua rat 5 mending 1 dulu gimana perubahan nya selanjutnya,-1.0
"Saya dari dulu senang memakai BCA karena mudah, praktis, ga sering kendala kaya Bank lain, tapi saya mau mengeluhkan untuk aplikasi ini setelah ada pembaruan terakhir jadi rada berat aplikasinya terus kadang juga lemot pas buka padahal perangkat/device yang saya gunakan baik baik saja dan tidak penuh memori. Tolong dibetulkan supaya tidak terjadi lemot pada waktu awal buka sebelum memassukan pin aplikasi dan setelah memasukkan pin aplikasinya. Terima kasih",-1.0
"setelah di update aplikasi makin buruk nunggu jaringan stabil sampe 1 menitan, mau cardless aja hrs bolak- balik aplikasi sampe 3x karena sending kodenya lama dan merah mulu, padahal yang di belakang ngantri,gimana si bukannya makin membaik malah makin buruk, kembalikan aja ke versi yg lama",-1.0
sangat membantu,1.0
"M bca sekarang lemot banget sumpah, login lama, qris lama bahkan suka bermasalah, gw sampe bolak balik pulang pergi ke rumah 5x gara2 gak bisa qris ini !! benerin tuh aplikasi, jangan cuma admin nya aja yang digedein !! Bukan nya mempermudah malah nyusahin !!!",-1.0
Pas di Update Malah Sering Banget Merah Lampu Indikatornya. Lemot!,-1.0
kebanyakan lampu merah,-1.0
akhir2 ni lemot lampu hijaunya...tolong perbaiki,-1.0
"kenapa sll susah untuk cek inbox transaksi padahal jaringan ok,lampu hijau tp sll keluar terus dari apk ???",-1.0
sekarang setiap dibuka aplikasi nya pasti selalu merah kenapa sih sekarang bca ini mengecewakan,-1.0
"fiturnya bagus, tapi pada saat saya ganti hp selalu gagal di verifikasi diri (Foto Wajah), dan saya lihat banyak yang mengalami masalah seperti saya. apakah ini error atau seperti apa? kenapa tidak ada pembenahan system. disaat menghubungi CS prosedur nya panjang ujung2nya habisin pulsa dan harus ke kantor cabang. mohon system lebih disempurnakan melalui masukan2 permasalah yang kami sampaikan. terima kasih",-1.0
kenapa setelah apdate aplikask jadi lelet,-1.0
"Habis upgrade kok terasa lemot yah aplikasi bca mobile nya, jaringan sangat bagus dan sinyal full 4G LTE",-1.0
sekelas bca gangguan melulu,-1.0
"knpa skrng BCA parah bgt, potongan ny juga lumayan... masa uang masuk kena potong, blom lagi bulanan wajibny...",-1.0
tidak ada notifikasi jika ada tfan sesama BCA,0.0
setelah di perbarui malah makin lemot buka nya ih,-1.0
"ribet kali dah di suruh masukin kode otp tapi kodenya ga muncul di pesan gimana coba mau masukin kode otpnya, ribet kali dah saya habis ganti device baru sudah saya belikan pulsa juga masih gamau",-1.0
pdhl udh langganan hampir 10tahun tp skrng gampang terblokir pace id muka sm salah kode sms gara2 salah masuk aja 2x langsung terblokir cape benerin trs.,-1.0
kak... ini kenapa gak bisa masuk2 padahal udh kirim SMS😭😭😭,-1.0
cara mengaktifkan m banking tolong di bantu sudah di coba berbagai cara sampai datang ke kantor BCA masih tidak bisa,-1.0
setelah update aplikasi malah berat banget aplikasi nya. tolong diperbaiki,-1.0
"masa harus veryfikasi trus, mana sekali krik sms 5000 habis pulsanya",-1.0
kenapa sekarang jadi lemot amat ya eett deh,-1.0
"Padahal Sinyal Bagus, Pakai Wi-Fi Juga Pindah Ke Data Internet, Tapi Sekarang Buat Transaksi Loadingnya Lama, Makin Buruk Saja Aplikasinya",-1.0
mantuul,1.0
BCA,0.0
Busuk. Nunggu indikator hijau aja lama banget.,-1.0
mantaps lah,1.0
"kenapa mau cek saldo,tranfers,Qris bukanya lama banget padahal jaringan bagus sinyal kuat tapi lampu indikator selalu merah nunggu hijau lama banget tolong donk di perbaiki",-1.0
Sangat membantu sekali,1.0
"habis update bukannya nambah bagus malah makin busuk. lampu indikator kelamaan merah padahal sinyal stabil, buka mbanking loadingnya jadi lama padahal hp spek geming, payah. tolong lebih diperhatikan lagi update-annya ya🥰",-1.0
"sinyal bagus tapi masih merah , lemot !!!",-1.0
"makin ke sini,makin g jelas . . di buka sinyalnya ilang,mesti pencet pencet fitur baru dapat sinyal",-1.0
notif merah terus pas saat mau transaksi 29 november 2025,-1.0
"abis update malah makin ribet, signal merah terus... ganggu banget waktu buru2 transaksi malah jadi lambat !",-1.0
sehabis di update malah selalu merah. kecewa.,-1.0
"ini kanapa kak kok,hari² ini kok sering terjadi lampu indikator nya Mirah terus pas jam 00.00 sampai sibuh kadang",
"update an yg terbaru malah susah bngt buat indikator ijo, merah trs",
"semenjak update indikator sinyalnya suka merah terus, padahal sinyal bagus",
ini kenpa susah banget lampu ijo nya dri tdy,
"KENAPA LEMOT NYA MINTA AMPUN ?? JARINGAN OKE TAPI SESUSAH ITU MAU BAYAR PAKAI QRIS AJA KUDU BANGET NUNGGU LAMA, SESUSAH ITU UPGRADE JADI LEBIH OKE KAH ?? GAJELAS KESINI2NYA APLIKASI NYA :)",
"mohon ditinjau ulang , setelah ada lah pembaruan pada aplikasi BCA mobile , terjadi lag saat membuka aplikasi , dan proses transaksi menjadi susah",
"setelah update jaringannya merah trus, padahal sinyal penuh",
sangat buruk m bengking nya,
membantu banyak sekali aktivitas dalam transaksi,
"semenjak Update lemot sekali. tau gitu ga update, kadang bikin transaksi depan kasir lama.",
"Makin di update makin tolol aja ini aplikasi, bukan nya makin cepet malah makin lambat lampu indikator hijau nya",
Habis update kenapa jadi sering merah ini lampu indikatornya. gangguan terus,
setelah update jadi lemot,
payahhh kaga bisaa verifikasii muka terusss,
sangat baik sukses slalu👍🏻👍🏻,
👍👍👍,
sekarang mbanking parah... lemot... terserah anda mau perbaiki apa tdk...,
"tolong perbaiki bca keyboard, sangat lemot tidak bisa d pakai, sekali nya bisa masuk lampu nya merah terus🙏",
aplikasi ssah klau d pake buat login,
kembangkan terus BCA,
"mobile bca kena lagi ya, sakit lagi ya ?",
setelah di perbarui malah susah indikator jadi hijau,
"proses transfernya ribet, harus daftar dulu udah gitu harus nunggu lampu indikatornya jadi warna ijo tapi lebih sering merahnya 😡",
"kenapa skrg dikit"" merah,saya buru"" mau bayar lampuny merah trs ga ijo"" padahal jaringan bagus",
kok jadi lemot ya versi terbaru November 2025,
"lampu sering merah sih padahal sinyal juga full,hp idah dinon aktifkan juga tapi tetap merah mulu heran aplikasi ini",
setelah diupdate malah tambah lemot...lebih bagus yg versi sebelumnya,
dari malem sampe sekarang ko lama ya saldo transaksii dari e wallet ke m bca lama banget padahal di e wallet sudah berhasil..,
dari tgl 20 November 2025 BCA ku kok mbangking nya merah trus lampu nya sehingga transaksi terganggu,
Jaringan jelek. Bikin emosi aja. Merah terus merah terus. Dikira ga punya kuota kali. Buruk,
suka lola,
ribet ah pusing SUMPAHHH,
"baru update M-BCA, asli bikin kesel jadi ribet pulsa habis cuma buat otp doang, alhasil nunggu lampu indikator kaga hijau2 stuck.. :(",
Alhamdulillah pokoknya cara kerja sangat cepet sekali,
Tidak bisa melakukan transaksi transfer,
"susah dapet OTP kadang susah juga di akses, ribet",
lemot banget sumpah,
"Ini BCA Mobile kenapa sekarang agak lemot ya Login awal nya, semenjak update. Sebelum update login langsung masuk cepat. Ini juga jenis font nya bikin sakit mata, kembalikan font yang sebelumnya saja. Kembalikan BCA Mobile seperti dulu, sederhana tapi berfungsi dengan baik",
mamtap,
"dear BCA aplikasi bagus cuma boleh lah di tambah tombol back di setiap masuk menu, karena setiap mau home saya harus keluar dari aplikasi dulu kalau mau ke menu awal nya, terimakasih 🙏",
LEMOT LEEMOOT LEEEMOOOT,
"kenapa sekarang jadi ribet, biaya bulanan 15000 otomatis, terus pindah akun ke hp baru ada biayanya, habis itu sekarang mau transfer pun harus datang lagi ke kantor nya langsung padahal di m-banking menu transfer pun ada. lalu apa gunanya kalau tiap menu yg ada , harus lapor dulu baru dapat di gunakan, kenapa tidak ada pemberitahuan dari awal..???proses via tlfn ngabisin pulsa, kenapa jadi menjijikan begini layanan BCA , buang waktu buang tenaga.",
"Kenapa jadi susah ya sekarang, sinyal merah terus!!",
"semnjak di updt ,semakin lelet ,lemot, aso",
wah aplikasi mulai kacau nih sejak kemarin loading terus gak jelas. gak bisa buat transaksi,
